Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXN1375.263,0.00054,"(0.00023,0.00085)",0.0012,0.212,"Methionine synthase I (cobalamin-dependent), methyltransferase domain",L-homocysteine + 5-methyl-tetrahydrofolate  <-->  L-methionine + tetrahydrofolate
ENZRXN1375.1273,0.00086,"(0.00033,0.0014)",0.0025,0.212,adenosylcobinamide-phosphate synthase,ATP + adenosylcobyrate + (R)-1-aminopropan-2-ol  <-->  ADP + adenosylcobinamide + phosphate + H+
ENZRXN1375.297,0.00057,"(0.0002,0.00095)",0.0039,0.212,thiamine-phosphate diphosphorylase,2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate + 4-amino-2-methyl-5-diphosphomethylpyrimidine + 2 H+  <-->  thiamin phosphate + CO2 + diphosphate
ENZRXN1375.289,0.00055,"(0.00019,0.00092)",0.0044,0.212,fructose-1-phosphate kinase,"ATP + beta-D-fructofuranose 1-phosphate  <-->  ADP + fructose 1,6-bisphosphate + H+"
ENZRXN1375.506,0.00068,"(0.00022,0.00115)",0.0054,0.212,"hydro-lyases, Fe-S type, tartrate/fumarate subfamily, beta region",(S)-malate  <-->  fumarate + H2O
ENZRXN1375.1448,0.00056,"(0.00017,0.00094)",0.0056,0.212,holo-ACP synthase CitX/triphosphoribosyl-dephospho-CoA synthase CitG,3'-dephospho-CoA + ATP + H+  <-->  2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + adenine
ENZRXN1375.325,-0.00094,"(-0.00159,-0.00029)",0.0058,0.212,"acetolactate synthase, large subunit, biosynthetic type",2 pyruvate + H+  <-->  (S)-2-acetolactate + CO2
ENZRXN1375.884,0.00072,"(0.00022,0.00122)",0.0064,0.212,histidinol phosphate phosphatase HisJ family,L-histidinol-phosphate + H2O  <-->  histidinol + phosphate
ENZRXN1375.1356,0.00056,"(0.00017,0.00096)",0.0066,0.212,Gluconolactonase,"L-gulono-1,4-lactone + H2O  <-->  L-gulonate + H+"
ENZRXN1375.1186,0.00072,"(0.00021,0.00122)",0.0069,0.212,guanylate kinase,GMP + ATP  <-->  GDP + ADP
